"Internet users, total (% of population)"
"156","Comoros","0.3","","2.0","","5.1","","5.5","","6.0","","6.5","","7.0","","7.5","","7.9","","8.5","","..",""
"138","Congo","0.0","","1.5","","5.0","","5.6","","6.1","","6.6","","7.1","","7.6","","8.1","","8.7","","..",""
"179","Congo (Democratic Republic of the)","0.0","","0.2","","0.7","","1.2","","1.7","","2.2","","3.0","","3.8","","6.2","","8.6","","..",""
"68","Costa Rica","5.8","","22.1","","36.5","","39.2","","47.5","","46.0","","53.0","","59.8","","65.9","","71.4","","74.1",""
"46","Croatia","6.6","","33.1","","56.5","","57.8","","61.9","","66.7","","68.6","","69.8","","72.7","","67.1","","72.7",""
"72","Cuba","0.5","","9.7","","15.9","","16.0","","21.2","","27.9","","29.1","","37.3","","43.0","","57.1","","..",""
"31","Cyprus","15.3","","32.8","","53.0","","56.9","","60.7","","65.5","","69.3","","71.7","","75.9","","80.7","","84.4",""
"26","Czechia","9.8","","35.3","","68.8","","70.5","","73.4","","74.1","","74.2","","75.7","","76.5","","78.7","","80.7",""
"165","Côte d'Ivoire","0.2","","1.0","","2.7","","2.9","","5.0","","12.0","","19.3","","38.4","","41.2","","43.8","","46.8",""
"11","Denmark","39.2","","82.7","","88.7","","89.8","","92.3","","94.6","","96.0","","96.3","","97.0","","97.1","","97.6",""
"171","Djibouti","0.2","","1.0","","6.5","","7.0","","8.3","","9.5","","10.7","","11.9","","13.1","","55.7","","..",""
"98","Dominica","8.8","","38.5","","47.5","","48.6","","49.8","","51.0","","57.5","","65.0","","67.0","","69.6","","..",""
"89","Dominican Republic","3.7","","11.5","","31.4","","38.0","","42.3","","45.9","","49.6","","54.2","","63.9","","67.6","","74.8",""
"85","Ecuador","1.5","","6.0","","29.0","","31.4","","35.1","","40.3","","45.6","","48.9","","54.1","","57.3","","..",""
"116","Egypt","0.6","","12.8","","21.6","","25.6","","26.4","","29.4","","33.9","","37.8","","41.2","","45.0","","46.9",""
"124","El Salvador","1.2","","4.2","","15.9","","18.9","","20.3","","23.1","","24.8","","26.8","","29.0","","33.8","","..",""
"144","Equatorial Guinea","0.1","","1.1","","6.0","","11.5","","13.9","","16.4","","18.9","","21.3","","23.8","","26.2","","..",""
"182","Eritrea","0.1","","..","","0.6","","0.7","","0.8","","0.9","","1.0","","1.1","","1.2","","1.3","","..",""
"30","Estonia","28.6","","61.5","","74.1","","76.5","","78.4","","80.0","","84.2","","88.4","","87.2","","88.1","","89.4",""
"138","Eswatini (Kingdom of)","0.9","","3.7","","11.0","","18.1","","20.8","","24.7","","26.2","","25.6","","28.6","","47.0","","..",""
"173","Ethiopia","0.0","","0.2","","0.8","","1.1","","2.9","","4.6","","7.7","","13.9","","15.4","","18.6","","..",""
"98","Fiji","1.5","","8.5","","20.0","","28.0","","33.7","","35.2","","37.4","","42.5","","46.5","","50.0","","..",""
"12","Finland","37.2","","74.5","","86.9","","88.7","","89.9","","91.5","","86.5","","86.4","","87.7","","87.5","","88.9",""
"26","France","14.3","","42.9","","77.3","","77.8","","81.4","","81.9","","83.8","","78.0","","79.3","","80.5","","82.0",""
"115","Gabon","1.2","","4.9","","13.0","","18.0","","24.0","","30.5","","38.1","","45.8","","48.1","","62.0","","..",""
"174","Gambia","0.9","","3.8","","9.2","","10.9","","12.4","","14.0","","15.6","","16.5","","18.5","","19.8","","..",""
"70","Georgia","0.5","","6.1","","26.9","","31.5","","36.9","","43.3","","44.0","","47.6","","58.5","","59.7","","64.0",""
"4","Germany","30.2","","68.7","","82.0","","81.3","","82.3","","84.2","","86.2","","87.6","","84.2","","84.4","","89.7",""
"142","Ghana","0.2","","1.8","","7.8","","9.0","","10.6","","15.0","","25.5","","25.0","","34.7","","39.0","","..",""
"32","Greece","9.1","","24.0","","44.4","","51.6","","55.1","","59.9","","63.2","","66.8","","69.1","","70.5","","73.0",""
"78","Grenada","4.1","","20.5","","27.0","","30.0","","32.0","","35.0","","51.6","","53.8","","55.9","","59.1","","..",""
"126","Guatemala","0.7","","5.7","","10.5","","12.3","","16.0","","19.7","","23.4","","28.8","","34.5","","65.0","","..",""
"174","Guinea","0.1","","0.5","","1.0","","2.0","","3.1","","4.5","","6.4","","8.2","","9.8","","18.0","","..",""
"178","Guinea-Bissau","0.2","","1.9","","2.5","","2.7","","2.9","","3.1","","3.3","","3.5","","3.8","","3.9","","..",""
"123","Guyana","6.6","","..","","29.9","","30.0","","30.5","","31.0","","32.0","","34.0","","35.7","","37.3","","..",""
"169","Haiti","0.2","","6.4","","8.4","","9.0","","9.8","","10.6","","11.4","","12.2","","12.2","","12.3","","32.5",""
"132","Honduras","1.2","","6.5","","11.1","","15.9","","18.1","","17.8","","19.1","","27.1","","29.5","","31.7","","..",""
"4","Hong Kong, China (SAR)","27.8","","56.9","","72.0","","72.2","","72.9","","74.2","","79.9","","84.9","","87.5","","89.4","","..",""
"43","Hungary","7.0","","39.0","","65.0","","68.0","","70.6","","72.6","","75.7","","72.8","","79.3","","76.8","","76.1",""
"6","Iceland","44.5","","87.0","","93.4","","94.8","","96.2","","96.5","","98.2","","98.2","","98.2","","98.3","","99.0",""
"129","India","0.5","","2.4","","7.5","","10.1","","12.6","","15.1","","21.0","","17.0","","22.0","","34.5","","..",""
"111","Indonesia","0.9","","3.6","","10.9","","12.3","","14.5","","14.9","","17.1","","22.0","","25.4","","32.3","","39.8",""
"65","Iran (Islamic Republic of)","0.9","","8.1","","15.9","","19.0","","22.7","","29.9","","39.4","","45.3","","53.2","","64.0","","70.0",""
"120","Iraq","..","","0.9","","2.5","","5.0","","7.1","","9.2","","13.2","","58.0","","21.2","","49.4","","..",""
"3","Ireland","17.9","","41.6","","69.8","","74.9","","76.9","","78.2","","83.5","","83.5","","85.0","","84.1","","84.5",""
"22","Israel","20.9","","25.2","","67.5","","68.9","","70.8","","70.3","","75.0","","77.4","","79.7","","81.6","","..",""
"29","Italy","23.1","","35.0","","53.7","","54.4","","55.8","","58.5","","55.6","","58.1","","61.3","","63.1","","74.4",""
"96","Jamaica","3.1","","12.8","","27.7","","37.4","","33.8","","37.1","","40.4","","42.2","","44.4","","55.1","","..",""
"19","Japan","30.0","","66.9","","78.2","","79.1","","79.5","","88.2","","89.1","","91.1","","93.2","","84.6","","..",""
"102","Jordan","2.6","","12.9","","27.2","","34.9","","37.0","","41.4","","46.2","","60.1","","62.3","","66.8","","..",""
"50","Kazakhstan","0.7","","3.0","","31.6","","50.6","","61.9","","63.3","","66.0","","70.8","","74.6","","76.4","","78.9",""
"147","Kenya","0.3","","3.1","","7.2","","8.8","","10.5","","13.0","","16.5","","16.6","","16.6","","17.8","","..",""
"132","Kiribati","1.8","","4.0","","9.1","","10.0","","10.7","","11.5","","12.3","","13.0","","13.7","","14.6","","..",""
"..","Korea (Democratic People's Rep. of)","0.0","","0.0","","0.0","","0.0","","0.0","","..","","..","","..","","..","","..","","..",""
"22","Korea (Republic of)","44.7","","73.5","","83.7","","83.8","","84.1","","84.8","","87.6","","89.9","","92.8","","95.1","","95.9",""
"57","Kuwait","6.7","","25.9","","61.4","","65.8","","70.5","","75.5","","78.7","","72.0","","78.4","","100.0","","99.6",""
"122","Kyrgyzstan","1.0","","10.5","","16.3","","17.5","","19.8","","23.0","","28.3","","30.2","","37.0","","38.0","","..",""
"140","Lao People's Democratic Republic","0.1","","0.8","","7.0","","9.0","","10.7","","12.5","","14.3","","18.2","","21.9","","25.5","","..",""
"39","Latvia","6.3","","46.0","","68.4","","69.8","","73.1","","75.2","","75.8","","79.2","","79.8","","80.1","","83.6",""
"93","Lebanon","8.0","","10.1","","43.7","","52.0","","61.3","","70.5","","73.0","","74.0","","76.1","","78.2","","..",""
"164","Lesotho","0.2","","2.6","","3.9","","7.0","","10.0","","15.0","","22.0","","25.0","","27.4","","29.0","","..",""
"176","Liberia","0.0","","..","","2.3","","2.5","","2.6","","3.2","","5.4","","33.0","","7.3","","8.0","","..",""
"110","Libya","0.2","","3.9","","14.0","","14.0","","..","","16.5","","17.8","","19.0","","20.3","","21.8","","..",""
"18","Liechtenstein","36.5","","63.4","","80.0","","85.0","","89.4","","93.8","","95.2","","96.6","","98.1","","98.1","","..",""
"34","Lithuania","6.4","","36.2","","62.1","","63.6","","67.2","","68.5","","72.1","","71.4","","74.4","","77.6","","79.7",""
